category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39
art,0,0,0,0,7,1,5,8,44,1,2,2,0,1,5,3,0,3,4,6,1,0,2,8,0,7,2,10,1,0,3,0,3,0,0,0,3,2,0,0
autos_and_vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,0,0,0,0,0,0,0,0
business,0,2,1,3,4,2,4,10,3,2,1,2,6,2,4,0,6,0,1,5,0,0,0,1,0,11,0,6,1,1,0,3,0,1,2,1,1,0,0,0
citizen_journalism,0,11,1,14,7,1,4,5,5,0,3,0,16,2,8,1,0,1,0,2,0,0,1,0,1,9,5,11,2,1,6,2,3,1,0,0,7,1,0,0
comedy,0,1,1,0,7,2,4,9,35,1,13,0,0,3,7,3,1,1,2,9,1,0,0,2,0,20,0,9,2,0,2,3,7,0,0,0,1,0,0,0
conferences_and_other_events,0,0,4,0,9,0,2,2,4,3,0,0,0,6,6,0,1,0,4,4,0,0,0,1,0,7,1,11,0,2,1,1,0,1,0,1,2,0,0,1
default_category,2,9,13,7,23,27,30,25,87,9,18,11,10,24,18,8,9,11,30,29,6,2,6,17,5,58,9,54,18,5,13,10,15,4,6,5,13,10,2,6
documentary,0,4,0,1,7,0,4,3,13,5,6,3,0,1,8,1,1,3,3,4,3,0,3,6,1,8,4,2,3,0,2,1,0,1,1,2,2,1,2,0
educational,0,5,9,1,30,7,7,14,13,4,1,4,2,7,7,1,13,2,5,24,1,1,1,2,8,29,8,50,1,2,2,17,4,0,1,0,0,13,0,0
food_and_drink,0,5,5,0,1,3,3,4,4,0,3,0,0,1,8,0,2,1,3,8,0,0,2,1,0,7,1,5,0,0,9,0,1,0,1,0,0,0,0,0
gaming,0,0,1,1,4,2,2,5,21,0,6,2,0,3,3,12,1,1,4,7,0,0,2,4,1,2,6,4,2,1,1,3,7,0,1,0,0,1,0,0
health,0,0,0,2,0,0,1,1,8,1,0,0,0,1,2,0,2,0,0,10,0,0,0,0,0,27,2,22,2,0,1,2,0,0,0,0,4,0,0,0
literature,0,1,0,0,1,0,0,0,2,0,8,2,0,12,0,0,0,11,2,0,1,0,0,1,0,6,2,1,32,0,1,0,0,0,0,0,0,0,0,0
movies_and_television,0,2,11,3,7,0,0,31,54,37,11,2,0,3,28,4,5,6,1,16,5,0,2,2,1,21,3,6,2,1,1,0,1,4,0,0,1,0,1,0
music_and_entertainment,0,1,5,0,8,2,8,10,95,6,5,4,1,4,19,21,5,6,18,15,0,3,6,42,2,3,2,7,2,0,3,2,6,2,1,3,0,1,4,0
personal_or_auto-biographical,0,1,1,0,0,1,5,4,5,0,2,0,0,3,1,0,0,0,6,2,0,0,1,2,5,0,1,1,1,1,1,0,3,0,0,3,0,1,0,0
politics,0,24,4,70,42,6,1,27,4,1,1,5,70,25,5,1,4,2,0,9,3,0,3,0,0,207,13,28,16,0,5,6,5,0,0,0,4,1,0,3
religion,0,0,26,1,74,2,4,9,32,4,1,2,1,1,17,0,3,0,13,5,0,0,6,4,0,21,0,11,0,0,0,5,1,2,0,0,5,1,0,12
school_and_education,0,1,4,0,2,3,2,2,12,0,0,0,0,0,3,0,2,0,1,7,0,0,1,0,0,1,0,7,0,1,1,0,2,0,0,0,1,0,0,0
sports,0,2,6,6,3,3,4,13,29,2,5,6,2,6,9,3,3,1,6,12,2,1,1,6,0,21,3,16,2,0,9,1,11,1,0,1,2,0,1,0
technology,0,6,10,2,24,15,13,28,23,5,5,4,1,12,9,2,14,1,12,23,2,0,2,7,7,42,8,71,2,0,5,29,1,1,3,3,6,9,0,0
the_environment,0,0,0,0,0,1,3,1,0,0,2,0,0,0,0,0,13,0,5,0,1,0,0,3,0,11,1,4,0,1,0,1,0,0,0,1,0,1,0,0
the_mainstream_media,0,1,1,0,4,1,2,9,2,0,1,2,0,0,3,2,3,1,2,3,0,0,0,1,0,11,2,29,0,2,0,0,1,2,0,3,1,0,0,0
travel,0,1,0,5,0,2,0,3,8,1,5,0,0,1,2,1,1,0,4,4,0,0,0,1,0,0,1,4,2,0,1,0,2,0,0,0,0,1,0,0
videoblogging,0,2,8,4,4,7,4,13,32,2,8,1,2,7,12,8,5,12,9,22,4,1,4,11,3,9,1,6,10,1,6,1,12,2,4,1,0,3,1,1
web_development_and_sites,0,1,0,1,3,3,1,0,0,0,2,0,0,1,2,0,0,0,0,3,0,0,0,0,0,1,0,11,1,0,0,3,2,0,0,0,0,3,0,0
