category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54,cluster 55,cluster 56,cluster 57,cluster 58,cluster 59
art,0,0,0,0,1,2,0,0,4,5,0,0,1,1,5,1,1,1,2,1,0,1,0,1,0,4,2,3,9,2,7,0,7,1,2,1,0,0,7,0,4,12,0,2,0,3,0,3,0,3,1,0,0,0,2,0,0,0,32,0
autos_and_vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
business,0,0,0,3,5,1,0,3,1,0,1,0,2,4,0,1,0,3,0,0,0,2,0,0,2,1,0,1,5,0,10,3,4,1,2,0,0,0,5,1,0,1,2,0,1,1,1,0,3,0,5,2,1,3,0,0,0,0,2,3
citizen_journalism,0,1,0,0,1,3,0,0,1,0,1,0,1,0,0,2,0,3,0,1,0,0,0,1,1,0,1,0,9,1,7,14,7,2,0,0,0,0,4,2,8,2,11,5,1,7,1,6,2,3,2,0,0,5,1,0,0,0,3,11
comedy,0,0,10,1,1,3,0,0,4,4,1,0,2,6,0,4,0,0,2,1,0,1,0,0,3,2,1,2,5,0,20,0,7,2,0,1,0,0,8,0,1,9,1,0,0,1,0,2,3,7,5,0,0,0,0,0,0,0,26,0
conferences_and_other_events,0,0,0,1,0,0,0,0,2,0,4,0,0,2,0,0,0,0,0,0,0,3,0,1,5,4,0,1,11,0,6,0,9,0,0,0,0,0,2,1,4,1,0,1,1,2,2,1,1,0,4,0,1,0,0,0,0,1,3,0
default_category,1,1,7,6,9,9,3,3,12,12,13,2,22,9,11,18,1,18,2,6,4,9,3,5,19,30,10,6,36,3,53,7,23,18,8,6,2,5,16,5,9,28,9,9,4,13,5,13,10,15,17,6,5,3,10,2,1,6,59,7
documentary,0,0,4,1,2,1,0,0,2,3,0,1,0,4,1,0,0,2,0,1,1,5,0,0,1,3,3,5,2,3,8,1,7,3,3,3,0,0,1,0,4,2,4,4,1,2,0,2,1,0,1,1,2,0,1,2,0,0,11,0
educational,0,0,1,4,2,0,0,9,0,11,9,0,3,4,2,10,0,7,1,0,8,4,3,3,4,5,2,0,40,1,27,1,30,1,1,1,1,4,12,2,3,5,5,8,0,0,2,2,17,4,13,1,0,1,13,0,0,0,8,1
food_and_drink,0,0,2,2,1,1,0,0,3,3,5,0,3,6,1,2,0,0,0,0,0,0,0,1,0,3,1,0,3,2,7,0,1,0,0,0,0,0,3,0,2,1,5,1,0,0,0,9,0,1,5,1,0,0,0,0,0,0,3,0
gaming,0,0,5,1,2,1,0,0,1,4,1,0,2,2,2,1,1,1,1,11,1,0,1,0,3,4,0,2,3,2,2,1,4,2,1,0,0,0,3,0,1,3,0,6,0,0,1,1,3,7,3,1,0,0,1,0,0,0,18,0
