category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44
art,6,0,1,4,0,2,2,2,0,2,1,6,0,4,0,8,2,1,0,7,0,0,0,16,6,2,2,0,2,2,0,33,0,3,1,4,0,3,2,3,2,2,3,0,0
movies_and_television,9,1,25,1,0,1,3,9,2,3,8,1,4,3,0,2,4,9,1,16,0,3,1,41,6,24,14,0,23,0,1,10,2,3,5,5,2,4,0,17,4,1,3,0,1
web_development_and_sites,0,1,0,0,0,11,0,0,1,0,2,3,0,0,0,0,0,0,0,2,0,0,0,1,2,3,0,0,0,4,1,0,0,0,0,1,0,0,0,1,3,1,1,0,0
politics,7,9,3,1,63,2,0,9,17,9,15,20,37,12,0,0,144,1,27,7,0,0,0,1,31,4,0,0,58,5,52,1,2,10,6,10,0,0,3,2,9,2,1,6,9
sports,8,1,4,1,0,4,3,3,3,4,4,11,9,5,0,2,8,2,6,4,1,4,1,14,1,6,2,0,7,2,1,22,1,4,4,8,2,2,6,6,5,3,11,3,1
technology,16,3,7,10,0,28,7,2,7,4,16,37,4,6,5,9,15,1,2,38,0,2,1,13,13,19,4,0,23,10,1,14,3,9,8,29,2,3,5,6,1,9,2,4,9
educational,13,4,3,3,1,30,8,3,5,6,21,16,7,1,2,1,6,0,3,20,1,0,0,9,4,14,0,0,8,8,0,8,13,5,13,21,2,1,4,3,3,13,2,6,5
religion,3,4,12,2,0,2,9,0,1,0,11,3,2,4,1,1,1,0,1,11,0,2,0,14,9,20,8,0,10,0,0,19,70,0,4,15,0,1,9,9,1,2,0,0,2
travel,4,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,1,2,1,3,0,0,0,5,0,0,1,0,0,1,4,6,0,0,1,0,0,1,2,0,7,1,2,1,0
music_and_entertainment,5,2,6,5,0,1,10,4,2,3,3,4,1,1,5,38,0,2,1,8,3,4,7,44,8,11,4,0,5,3,0,71,1,3,2,1,2,9,10,6,3,3,17,3,1
the_environment,1,3,0,2,0,0,4,0,0,1,3,3,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,14,0,1,1,3,0,0,1,0,0,0
school_and_education,7,0,2,1,0,4,1,0,0,0,1,2,0,1,0,0,0,0,0,2,0,0,0,11,1,3,2,0,0,1,0,2,1,0,2,2,1,0,0,1,0,1,2,0,2
health,2,0,1,0,0,2,0,0,1,0,1,20,4,2,1,0,23,0,1,3,0,0,0,3,1,1,0,0,2,0,1,7,0,1,1,2,0,0,0,1,3,0,0,4,0
citizen_journalism,10,3,1,2,14,0,0,0,0,4,2,7,8,10,1,0,1,0,4,3,0,1,0,3,4,4,1,0,4,0,10,2,0,1,0,7,3,4,0,5,3,1,2,5,1
personal_or_auto-biographical,1,3,0,4,0,0,1,0,1,0,0,2,0,0,6,1,0,0,1,4,0,0,0,6,0,1,0,0,0,1,0,3,0,0,0,0,2,2,3,0,3,2,1,2,1
food_and_drink,14,0,1,2,0,0,1,0,0,4,1,1,1,0,0,2,2,0,1,7,0,0,0,4,0,11,1,0,2,2,1,3,0,1,3,3,0,1,1,0,2,0,1,4,1
conferences_and_other_events,1,2,3,5,0,2,4,1,4,0,3,5,0,3,0,1,1,0,1,4,0,1,0,2,4,4,1,0,3,0,0,3,1,1,0,9,2,0,0,3,0,0,0,0,0
gaming,6,0,0,0,0,1,2,0,0,2,0,2,0,0,1,2,0,6,1,5,0,0,0,11,4,3,3,0,3,1,1,11,0,5,0,3,4,1,2,2,6,2,15,3,2
literature,0,1,0,1,0,0,1,10,1,2,1,0,4,0,0,1,0,7,21,1,0,0,0,1,0,1,0,0,0,0,0,1,0,2,0,1,1,3,1,0,12,0,0,8,1
business,3,2,2,4,4,3,1,0,2,3,4,2,2,0,2,0,3,1,2,10,0,1,0,3,2,3,1,0,4,1,3,1,1,0,5,4,1,0,2,0,0,0,0,4,0
the_mainstream_media,0,1,2,2,0,5,2,1,0,1,5,16,0,2,0,1,5,0,0,2,0,2,0,2,1,1,1,0,5,1,0,1,2,2,13,3,2,2,1,0,1,1,1,1,1
autos_and_vehicles,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
comedy,6,0,1,0,0,1,1,2,3,1,8,4,2,2,0,3,7,4,0,5,0,0,0,22,5,5,3,0,6,2,0,18,3,1,1,4,0,4,0,2,8,2,5,4,1
default_category,27,11,9,14,8,14,12,15,11,12,20,27,10,10,8,15,17,13,14,23,2,6,3,45,11,28,9,2,26,20,7,48,8,8,8,19,8,7,19,8,33,16,12,12,9
videoblogging,8,1,2,4,2,2,3,9,4,1,3,6,2,2,3,14,1,3,5,14,1,3,1,22,1,11,2,0,4,4,2,21,3,3,3,3,4,12,5,4,17,5,10,11,2
documentary,2,1,5,3,1,2,2,5,0,5,3,1,3,3,1,5,1,5,1,4,0,1,2,7,6,3,2,0,2,2,0,9,1,1,1,1,2,1,2,2,4,1,0,1,5
