category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54,cluster 55,cluster 56,cluster 57,cluster 58,cluster 59,cluster 60,cluster 61,cluster 62,cluster 63,cluster 64
art,0,2,2,4,3,3,0,0,0,4,1,1,1,6,2,3,4,6,7,2,5,2,0,1,0,3,1,1,2,1,0,1,4,5,1,0,3,1,4,0,0,1,1,0,5,1,3,9,1,3,0,2,2,1,1,0,1,3,3,0,1,1,8,0,0
autos_and_vehicles,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
business,0,0,0,0,1,0,0,0,0,0,7,0,1,0,0,0,0,1,4,0,0,0,3,1,0,0,1,1,23,1,0,2,1,3,4,1,3,1,13,0,0,0,2,0,0,0,2,1,0,1,0,0,2,0,0,0,0,2,0,0,0,2,1,0,0
citizen_journalism,2,0,1,1,0,1,10,0,0,1,12,3,0,0,0,1,0,2,4,0,0,0,2,1,0,2,8,4,3,4,0,4,2,3,13,3,0,0,5,0,0,0,0,0,4,0,1,1,1,1,1,2,13,1,0,0,1,7,0,0,0,1,4,1,0
comedy,0,1,1,2,6,2,0,0,0,1,1,2,0,2,0,6,5,6,3,0,3,3,2,2,0,2,0,3,3,4,0,3,0,0,1,0,3,0,0,0,0,1,31,0,4,4,3,1,1,6,5,1,2,2,0,0,1,4,3,0,0,2,5,0,0
conferences_and_other_events,1,0,3,0,0,0,1,0,0,0,0,1,0,1,0,2,0,0,4,0,0,0,1,2,0,0,1,0,10,1,0,2,8,0,2,1,4,0,5,0,0,0,3,0,3,0,1,6,0,0,1,1,2,0,0,0,0,1,0,0,0,5,0,0,0
default_category,6,7,6,10,3,8,7,0,1,6,10,8,5,10,9,27,9,17,20,14,7,1,6,7,0,2,5,8,35,17,0,17,16,21,35,24,34,16,31,1,0,3,11,2,26,5,18,24,1,12,7,23,7,11,4,4,3,13,5,2,0,7,6,0,0
documentary,3,1,1,0,1,3,1,0,0,1,1,3,2,6,1,4,4,7,3,3,0,1,1,1,0,4,2,2,4,2,0,1,0,3,3,1,3,2,1,0,0,0,0,1,0,2,3,5,0,3,0,1,4,3,0,1,0,3,5,0,0,0,1,0,0
educational,5,1,5,1,2,1,2,1,0,1,2,4,1,0,1,6,2,7,10,13,2,0,0,6,0,3,3,5,33,10,0,7,7,13,20,2,9,7,37,0,0,1,4,0,4,0,16,10,1,1,4,3,3,0,2,1,1,4,0,0,0,9,2,0,0
food_and_drink,3,0,1,0,0,0,0,0,0,1,0,2,1,0,0,2,2,5,1,2,2,0,1,2,0,0,0,1,1,4,0,3,3,1,5,0,0,4,2,0,0,0,0,0,1,1,1,7,0,3,2,1,2,3,0,0,0,5,1,0,0,0,2,0,0
