category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54,cluster 55,cluster 56,cluster 57,cluster 58,cluster 59
art,56,16,49,84,20,49,15,40,52,130,3,88,22,144,113,44,35,0,23,19,30,64,16,38,1152,217,146,134,44,40,109,1,184,21,17,0,77,28,18,105,250,14,96,85,68,92,57,37,70,39,44,16,146,152,31,41,25,43,20,28
movies_and_television,123,7,37,114,95,46,37,81,166,67,16,327,25,139,133,55,27,0,49,44,18,72,24,33,1554,200,48,179,73,78,180,42,62,56,40,0,301,67,152,370,317,38,313,72,34,221,59,195,185,25,33,155,158,452,115,514,76,125,125,168
web_development_and_sites,0,2,34,0,10,13,1,4,2,5,8,12,0,31,4,6,36,0,7,3,0,4,20,51,25,14,0,14,9,7,0,1,22,8,48,0,0,54,0,11,40,6,34,1,20,37,1,6,5,1,1,1,26,7,0,2,2,1,5,3
politics,85,25,1161,170,30,55,118,37,3470,95,349,134,2,887,246,79,520,0,32,49,8,540,246,446,449,594,1227,122,56,2152,336,68,138,6,91,0,187,127,3,182,1685,191,151,138,110,586,91,115,165,102,6,96,4459,223,36,41,75,104,54,75
sports,15,65,113,20,25,25,15,58,90,32,1,106,7,33,85,36,79,4,95,48,8,40,26,34,481,63,34,110,34,282,25,65,141,29,55,0,45,30,28,70,90,61,103,23,86,100,24,35,63,22,40,20,50,164,17,39,23,44,55,40
technology,11,18,213,26,57,138,23,83,1055,83,31,169,15,354,259,29,271,1,11,28,9,101,124,102,228,136,103,190,78,39,31,12,320,42,300,0,15,241,19,79,1193,67,111,83,132,861,47,49,63,42,72,37,387,77,13,26,18,31,44,27
educational,12,10,187,12,33,104,27,70,318,115,4,95,4,163,173,20,190,4,25,48,20,21,86,494,247,148,39,219,100,63,42,11,135,30,104,0,20,303,12,219,498,78,142,18,101,311,16,31,45,6,16,12,158,65,5,74,12,26,21,48
religion,24,0,9,16,22,8,3,37,188,8,2,67,3,1225,50,26,36,0,5,15,9,22,101,321,381,193,14,97,14,8,23,0,14,8,12,0,29,438,11,537,221,44,82,5,51,297,9,52,31,9,6,11,239,62,8,32,19,20,24,271
travel,14,5,7,4,2,3,1,4,2,9,47,26,2,2,23,2,9,0,18,18,4,0,2,4,115,2,0,6,16,15,4,0,26,13,15,0,9,1,5,1,15,31,13,1,19,6,4,4,3,4,6,11,0,31,7,19,9,3,6,8
music_and_entertainment,92,4,22,37,17,34,66,134,24,10,6,213,54,174,98,23,13,4,71,37,29,24,14,19,1451,56,49,102,29,15,61,16,77,120,16,0,95,29,65,43,23,26,147,26,140,41,26,20,35,26,229,52,177,253,43,83,67,34,40,27
the_environment,0,5,7,0,11,8,537,1,477,8,6,4,1,0,34,1,22,0,10,38,5,5,3,1,13,1,0,12,13,10,4,0,85,7,25,0,9,4,1,1,54,0,20,13,15,9,5,4,1,1,10,0,3,7,0,1,1,2,2,0
school_and_education,6,0,10,2,8,14,1,8,0,6,2,18,0,12,23,1,18,0,12,4,0,4,1,9,92,12,0,7,14,0,3,0,23,5,17,0,2,29,6,11,6,1,20,0,8,17,5,9,6,9,1,5,9,21,3,8,0,7,7,4
health,2,0,391,1,4,7,0,10,95,8,10,30,0,25,13,12,30,0,5,6,0,31,80,11,84,40,191,45,13,284,53,1,17,0,3,0,38,14,0,16,148,33,15,56,24,26,7,18,30,63,1,0,68,29,3,60,4,29,8,13
citizen_journalism,31,13,24,130,25,12,35,32,142,12,24,50,14,195,48,36,14,1,36,7,4,143,55,14,144,149,251,69,18,34,189,4,72,4,23,0,92,41,5,69,460,8,62,134,25,280,131,38,62,75,2,18,268,66,17,39,22,38,17,60
