cluster,category,precision
-1,travel,0.17493472584856398
0,travel,0.1315042573320719
1,food_and_drink,0.19148936170212766
10,videoblogging,0.25
11,food_and_drink,0.5
12,citizen_journalism,0.3076923076923077
13,the_mainstream_media,0.5
14,comedy,0.3333333333333333
15,travel,0.2222222222222222
16,art,0.42857142857142855
17,art,0.25
18,citizen_journalism,0.2
19,travel,0.3333333333333333
2,citizen_journalism,0.24336283185840707
20,travel,0.8
21,autos_and_vehicles,0.2
22,autos_and_vehicles,0.2
23,citizen_journalism,0.42857142857142855
24,personal_or_auto-biographical,0.4
25,travel,0.5
3,art,0.2
4,default_category,0.375
5,literature,0.21428571428571427
6,literature,0.45454545454545453
7,movies_and_television,0.5
8,citizen_journalism,0.7023809523809523
9,comedy,0.3333333333333333
