category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54,cluster 55,cluster 56,cluster 57,cluster 58,cluster 59,cluster 60,cluster 61,cluster 62,cluster 63,cluster 64
art,42,69,38,63,152,24,16,31,83,39,24,24,16,84,37,31,34,63,146,56,18,0,30,220,80,21,83,42,62,46,31,13,144,46,1096,14,44,62,20,12,179,2,48,152,69,93,81,92,66,111,42,9,33,108,12,11,109,131,4,24,128,26,22,32,57
movies_and_television,123,126,24,217,148,76,7,2,71,242,35,74,43,112,186,169,116,188,49,123,37,0,19,200,259,168,120,25,60,64,25,34,157,47,1366,38,35,79,140,22,250,10,181,475,179,61,193,267,266,128,71,46,18,18,112,39,183,119,16,52,66,383,33,257,68
web_development_and_sites,1,1,17,0,20,2,2,50,1,2,7,2,33,0,4,39,2,7,0,0,2,0,0,14,21,1,18,11,5,7,30,1,25,0,19,6,28,11,3,19,32,0,1,15,3,4,35,7,12,4,8,2,1,19,5,0,0,29,7,57,6,2,3,0,2
politics,101,131,113,83,228,40,25,428,134,22,25,71,105,170,111,65,3452,90,1219,82,41,0,8,581,130,91,93,70,515,2154,554,116,4437,90,358,206,1108,27,73,238,1568,1,94,231,165,62,530,181,94,238,53,10,2,85,42,50,320,879,326,112,94,31,16,117,88
sports,43,36,34,121,101,50,65,22,23,43,75,22,23,20,34,43,81,63,34,15,38,0,8,62,79,22,55,75,38,282,67,14,49,31,410,75,100,38,29,28,69,4,37,140,61,54,91,52,93,80,32,28,27,103,49,50,25,31,1,66,32,18,17,17,26
technology,28,49,130,31,350,63,18,91,83,33,16,17,216,26,46,83,1048,52,102,11,29,1,10,129,80,47,134,56,99,33,240,18,386,10,193,67,196,76,17,110,997,3,62,94,62,70,825,78,145,253,73,12,67,256,35,12,28,319,30,389,81,11,34,10,54
educational,25,11,112,33,251,55,9,493,18,79,18,12,218,11,26,155,313,31,39,12,48,0,19,141,74,11,142,46,21,63,182,24,159,8,211,78,173,70,31,79,388,8,22,79,42,55,292,169,80,168,94,10,5,95,18,10,43,146,4,163,114,49,25,11,19
religion,17,18,42,20,97,21,0,312,5,38,2,19,421,16,47,128,188,41,13,23,15,0,9,187,50,14,112,27,24,7,27,2,233,10,331,44,8,11,304,80,180,0,10,102,24,12,273,680,53,51,14,3,4,7,19,0,22,955,2,15,8,21,21,21,9
travel,3,10,4,13,4,2,5,1,1,5,14,9,0,4,4,1,1,4,0,14,18,0,4,2,12,12,6,13,0,15,9,1,0,1,95,31,6,15,8,2,13,0,14,40,4,3,4,1,20,23,15,14,2,20,6,0,4,2,47,16,9,14,4,8,4
music_and_entertainment,33,65,23,120,42,45,5,4,25,26,59,67,29,37,20,13,5,60,48,90,35,0,29,56,143,77,73,146,20,3,11,65,175,27,1321,26,22,131,26,11,16,27,99,271,35,65,35,34,176,99,29,24,204,31,37,19,63,171,6,35,9,63,98,72,27
the_environment,2,1,17,9,22,1,6,1,13,0,6,1,3,0,4,3,477,2,0,0,33,0,5,1,15,0,7,5,5,11,18,536,3,4,12,1,6,12,0,3,42,1,1,3,1,73,9,0,5,34,12,4,3,22,2,0,4,0,6,27,8,1,0,4,10
school_and_education,7,12,21,13,7,2,0,8,0,6,11,0,20,2,8,13,0,8,0,6,4,0,0,11,14,6,8,3,4,0,16,0,9,1,85,1,9,11,2,1,4,0,3,20,4,11,16,11,17,21,12,0,0,13,6,0,3,11,2,22,6,4,5,1,5
health,28,65,23,9,75,7,0,11,56,14,0,4,10,1,17,7,95,14,190,2,6,0,0,39,14,0,13,11,26,286,29,0,68,27,71,34,383,3,10,82,118,0,1,33,30,10,21,11,29,11,12,0,0,9,8,0,52,23,10,5,8,54,4,18,8
citizen_journalism,36,90,30,30,101,31,13,6,134,28,40,22,39,130,38,31,141,46,247,31,7,0,4,146,56,16,34,28,122,34,8,30,270,85,116,8,23,11,56,54,407,4,15,78,60,20,273,70,36,41,11,4,2,53,12,4,188,176,18,26,12,25,8,34,134
personal_or_auto-biographical,1,0,9,4,8,15,0,0,0,5,21,1,0,0,0,3,1,1,1,0,5,0,1,7,4,0,11,17,1,2,7,0,1,0,17,5,9,15,2,5,0,0,1,5,0,6,3,1,14,10,7,4,11,4,1,0,1,2,2,15,0,2,15,1,1
food_and_drink,11,7,22,35,21,2,6,0,6,5,17,4,9,0,8,11,10,12,1,3,34,0,14,13,71,3,32,17,0,72,17,16,6,0,36,2,17,36,1,6,30,0,10,40,8,47,10,7,21,118,18,8,5,88,10,0,6,7,1,66,11,0,0,6,1
conferences_and_other_events,28,23,14,13,75,4,3,14,13,32,0,3,74,21,19,26,89,18,57,2,2,0,4,46,34,4,55,13,28,30,23,3,121,3,29,12,19,12,4,70,210,0,16,19,15,23,134,34,24,33,13,0,5,16,13,15,22,92,0,11,7,27,25,8,19
gaming,41,21,12,31,45,39,1,1,8,28,122,11,21,10,13,34,7,47,5,5,19,0,5,130,36,16,30,30,3,21,4,21,127,7,270,114,2,72,45,31,111,3,25,70,55,24,59,82,78,76,49,40,45,43,17,7,12,60,8,42,48,14,24,9,16
literature,0,0,18,2,0,0,2,0,0,0,36,0,1,0,1,0,6,2,0,0,0,0,0,2,3,0,0,14,0,9,7,0,3,0,2,58,0,1,0,0,2,0,2,1,3,4,6,0,3,2,4,27,1,0,0,25,0,5,0,3,0,0,0,0,0
business,11,3,27,4,23,2,2,14,3,4,4,2,13,1,0,3,54,1,10,0,8,0,2,8,10,3,27,8,8,61,48,4,22,0,23,29,31,8,0,15,41,0,5,7,14,6,45,12,13,26,1,5,4,11,6,5,4,16,28,30,1,9,16,5,4
the_mainstream_media,1,31,11,6,47,28,13,14,22,15,3,26,10,9,9,6,118,9,17,30,5,0,5,26,15,45,45,8,48,15,213,8,16,48,76,3,96,12,9,18,115,3,10,22,14,8,188,23,17,23,5,1,1,4,3,12,21,61,1,5,9,7,8,42,8
autos_and_vehicles,0,0,5,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,3,0,6,5,0,0,0,0,0,11,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0
comedy,10,12,20,80,48,10,1,21,23,21,75,16,70,24,20,13,103,42,29,29,42,0,11,48,100,9,61,11,10,87,29,54,97,2,498,20,65,63,10,36,74,1,53,171,29,48,43,27,75,79,24,42,44,30,28,28,12,38,1,52,31,9,23,21,21
default_category,133,61,159,130,246,96,49,292,68,57,162,29,123,74,81,75,714,160,247,51,68,2,36,260,170,55,181,135,168,239,174,78,487,41,1223,113,303,169,99,146,656,17,93,382,79,142,428,132,232,259,108,119,134,206,44,57,179,344,69,289,125,61,76,54,108
videoblogging,25,13,42,44,43,7,11,28,23,22,102,23,20,17,11,22,151,35,36,28,29,1,13,19,60,30,51,66,17,60,29,28,19,7,289,77,39,76,1,5,41,11,35,119,17,46,24,36,72,84,25,39,38,25,22,38,17,24,20,51,19,30,74,47,48
documentary,77,43,12,69,22,47,13,2,56,29,13,25,11,64,58,28,91,98,86,29,9,0,20,125,61,37,21,29,48,36,12,14,216,20,399,45,4,30,48,17,38,11,42,144,85,23,21,73,72,66,23,34,37,4,22,22,56,106,5,6,16,35,28,45,49
