category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54,cluster 55,cluster 56,cluster 57,cluster 58,cluster 59,cluster 60,cluster 61,cluster 62,cluster 63,cluster 64,cluster 65,cluster 66,cluster 67,cluster 68,cluster 69
art,16,69,13,48,38,22,57,81,40,3,134,21,1,154,64,38,58,413,82,57,144,40,12,36,27,109,57,24,28,18,0,11,38,128,180,83,104,81,88,30,18,1,60,54,131,34,54,42,41,8,32,46,24,18,13,163,15,45,687,84,113,19,94,17,78,76,52,34,17,80
autos_and_vehicles,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,11,0,5,6,1,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,4
business,8,4,10,5,5,2,0,45,7,28,16,0,0,26,13,0,3,14,3,0,8,15,21,1,2,10,4,4,2,2,0,5,22,6,46,10,17,4,0,14,9,18,15,12,12,3,8,11,31,5,49,61,15,8,4,2,3,18,11,1,14,6,7,3,5,12,1,54,2,28
citizen_journalism,5,147,2,14,2,22,8,276,2,19,192,6,3,111,36,38,27,104,134,31,77,36,22,74,23,209,133,39,4,21,0,4,32,68,415,58,206,23,111,6,11,5,67,44,164,16,122,37,25,5,8,34,52,16,28,22,17,36,22,130,52,23,71,4,89,5,44,141,20,33
comedy,43,5,11,53,52,16,17,44,12,1,43,7,1,61,74,25,80,415,23,27,33,25,45,3,21,25,18,57,11,1,0,26,23,155,75,98,80,33,12,21,28,11,19,21,58,10,11,11,64,36,34,88,67,29,51,48,9,33,112,24,33,7,25,38,23,57,39,102,7,57
conferences_and_other_events,2,17,6,16,10,2,6,131,0,0,90,7,0,96,21,19,13,24,13,2,9,24,3,16,33,48,19,0,4,6,0,15,16,15,217,34,81,18,16,14,11,6,40,12,114,7,28,28,18,0,25,30,81,16,3,18,4,23,7,21,16,14,41,10,10,12,11,89,3,60
default_category,65,132,55,89,151,29,97,425,140,69,349,62,18,282,217,85,122,664,67,49,99,157,144,37,81,222,98,132,32,98,1,58,143,311,666,174,348,159,106,291,90,58,138,45,370,26,155,136,310,114,176,238,138,47,78,226,51,160,610,73,177,100,142,111,82,110,119,713,47,183
documentary,8,44,27,39,37,24,14,25,2,5,116,24,11,25,67,67,66,315,54,28,67,45,7,30,25,58,49,11,20,29,0,21,11,122,39,66,166,23,46,2,10,23,71,60,131,14,41,78,4,35,12,36,13,23,15,17,34,67,109,64,5,24,78,17,68,22,79,91,28,23
educational,48,32,5,22,10,12,21,293,56,4,148,12,5,279,70,32,33,143,18,12,67,111,80,6,143,34,18,11,19,19,0,10,97,67,391,88,112,80,20,493,74,73,113,37,158,5,18,27,175,7,189,63,243,20,25,201,12,69,84,12,65,52,169,25,20,58,29,313,9,144
food_and_drink,33,7,1,11,8,4,15,12,26,1,8,2,0,25,22,8,32,19,6,3,6,62,40,2,9,1,0,15,14,5,0,0,26,35,28,71,3,34,0,0,24,1,1,9,11,4,0,11,18,5,20,72,9,12,16,28,2,1,23,0,96,13,6,15,6,53,12,10,1,28
gaming,19,8,98,25,47,10,31,55,9,8,64,14,3,46,75,17,28,215,8,5,61,31,29,15,30,4,16,92,5,3,0,5,9,63,121,42,80,26,7,1,26,18,55,47,130,5,4,42,2,36,4,21,33,20,21,92,14,61,79,10,38,19,90,52,15,50,36,7,15,35
health,6,26,5,1,0,4,8,21,2,10,23,0,0,79,30,18,9,36,56,2,20,9,3,63,11,169,8,0,0,39,0,0,24,30,125,16,46,12,51,11,4,29,66,29,58,1,29,29,394,0,29,286,17,8,0,17,0,10,37,1,6,5,12,0,38,3,14,95,2,13
