category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54,cluster 55,cluster 56,cluster 57,cluster 58,cluster 59,cluster 60,cluster 61,cluster 62,cluster 63,cluster 64
art,66,52,85,147,25,6,30,81,83,0,0,46,99,181,74,63,18,79,137,129,19,32,27,22,15,4,46,33,147,24,14,220,34,110,732,1,76,40,144,42,444,77,3,16,27,8,69,147,14,56,42,57,68,84,46,16,30,63,43,37,87,52,19,93,16
autos_and_vehicles,5,0,0,2,1,1,0,4,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,11,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0
business,19,1,46,20,15,5,14,26,3,0,0,14,12,39,14,13,0,5,7,1,24,4,2,4,8,29,19,49,10,15,0,8,54,3,12,5,13,2,26,3,16,6,0,2,30,0,3,17,29,0,15,4,14,1,61,4,10,8,11,0,12,6,4,9,4
citizen_journalism,24,42,274,106,53,9,6,31,134,1,0,3,80,418,50,69,3,20,64,12,30,2,4,7,14,25,35,10,252,17,8,166,142,195,26,4,5,3,272,17,133,93,0,13,20,0,90,200,8,31,46,133,59,130,34,34,18,140,36,38,53,20,35,66,20
comedy,19,36,41,55,68,42,21,64,24,0,0,13,32,78,85,25,1,42,158,33,54,43,11,50,28,1,34,32,30,8,9,58,103,16,130,32,57,3,105,24,474,22,20,1,63,8,12,48,16,28,27,19,27,25,88,55,53,11,11,20,26,53,50,92,10
conferences_and_other_events,23,14,127,80,82,0,14,61,13,0,0,0,50,190,24,42,0,15,21,6,11,5,4,11,16,0,22,29,59,57,7,58,89,24,9,15,12,10,143,15,31,10,0,3,10,0,23,95,12,2,24,19,15,21,30,5,2,28,28,18,14,16,0,52,5
default_category,192,108,421,209,174,109,293,193,67,1,1,159,151,576,263,158,17,119,284,129,188,137,33,136,45,70,157,177,251,315,61,299,713,189,690,58,114,111,498,113,762,83,47,50,199,24,61,377,112,52,164,100,77,72,237,83,80,176,133,84,112,101,137,189,56
documentary,31,77,25,26,16,16,2,23,56,0,0,5,88,40,77,79,11,17,125,16,8,36,20,23,22,5,69,12,86,2,27,135,91,56,132,21,25,7,216,24,361,65,26,13,2,2,43,125,45,30,45,50,86,64,36,19,21,50,78,59,1,43,10,72,34
educational,93,29,277,220,287,13,492,148,18,4,0,64,219,268,85,114,4,57,65,115,128,6,20,46,20,4,64,194,39,283,12,166,313,42,107,10,61,52,158,98,160,20,5,10,116,2,11,157,78,12,114,19,44,11,63,26,50,21,26,30,47,23,9,149,12
food_and_drink,26,12,15,23,8,11,0,32,6,0,0,28,11,27,29,2,0,35,56,11,55,5,14,19,11,1,1,18,1,3,1,13,10,7,28,0,55,9,6,19,28,6,22,6,18,2,7,8,2,3,64,0,9,0,73,20,36,0,11,8,74,8,13,73,2
