category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44
art,2,3,6,0,3,7,6,7,0,0,1,3,3,1,2,5,9,5,3,2,4,2,0,4,6,0,1,4,1,6,9,0,1,10,2,1,4,0,0,4,1,3,0,1,1
autos_and_vehicles,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
business,0,1,0,0,0,0,1,4,0,0,1,2,1,1,23,0,4,1,0,5,2,4,0,3,10,0,0,0,0,0,1,1,0,1,0,1,3,0,0,13,2,0,0,0,0
citizen_journalism,1,0,0,0,1,3,2,4,0,0,1,1,1,4,3,1,2,5,1,33,13,1,1,7,15,0,1,0,0,4,1,3,0,4,2,0,6,0,0,5,4,0,0,0,1
comedy,1,6,2,0,6,3,6,3,0,0,2,3,6,3,3,8,3,6,4,1,2,33,0,4,1,0,2,5,4,4,1,0,1,6,1,0,6,0,0,0,3,3,0,0,1
conferences_and_other_events,3,0,1,0,2,0,0,4,0,0,2,1,0,0,10,1,12,1,0,5,2,8,0,1,0,0,0,0,0,3,6,1,0,0,1,0,2,0,0,5,2,0,0,0,0
default_category,6,3,10,1,27,8,17,20,0,0,7,18,12,8,35,14,64,27,4,53,16,18,0,18,31,0,11,13,5,30,24,24,5,13,23,16,22,1,0,31,17,5,2,0,1
documentary,1,1,6,0,4,5,7,3,0,0,1,3,3,2,4,0,6,2,1,9,5,0,0,5,4,0,3,5,2,0,5,1,1,2,1,2,7,0,0,1,1,5,0,0,0
educational,5,2,0,0,6,4,7,10,0,0,6,16,1,5,33,6,29,11,1,30,4,13,0,5,15,0,0,3,0,6,10,2,1,3,3,7,5,0,1,37,7,0,0,0,1
food_and_drink,1,0,0,0,2,1,5,1,0,0,2,1,3,1,1,4,5,4,0,8,2,0,0,6,1,0,3,2,1,1,7,0,0,2,1,4,3,0,0,2,3,1,0,0,0
gaming,1,0,3,0,5,4,5,2,1,1,1,1,5,1,6,5,3,3,3,3,4,0,0,4,2,0,2,8,2,2,7,0,2,5,0,2,8,0,0,1,2,3,0,1,2
health,0,0,3,0,1,5,2,2,0,0,2,1,4,0,4,9,0,6,1,6,0,0,0,6,5,0,2,0,1,3,5,1,0,2,0,0,8,0,0,3,5,0,0,0,0
literature,6,0,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,19,0,2,0,0,9,0,0,1,1,0,0,21,0,0,14,5,0,0,0,0,0,0,0,0,0
movies_and_television,1,6,5,0,9,3,14,9,0,1,3,5,12,13,11,7,6,26,2,6,12,4,0,4,0,0,3,8,1,22,10,2,0,13,3,1,15,0,1,6,20,4,0,0,1
music_and_entertainment,2,6,6,0,26,12,16,5,0,0,2,5,7,0,1,9,55,18,7,10,11,7,0,2,4,0,8,16,5,3,41,2,1,8,1,0,8,0,0,4,2,6,2,1,2
personal_or_auto-biographical,0,0,2,0,2,0,1,1,0,0,0,1,1,0,3,1,15,0,1,3,0,0,0,1,1,0,0,2,1,0,10,0,0,0,1,1,2,0,0,0,1,0,0,0,0
politics,20,0,0,0,4,0,2,80,0,0,4,25,4,33,4,5,2,21,0,54,11,5,0,11,100,0,2,0,2,81,3,17,0,3,29,30,11,0,0,5,24,0,0,0,0
religion,0,1,0,0,4,1,1,6,0,0,47,12,2,4,24,0,47,1,1,9,0,72,0,0,2,0,0,2,1,1,8,1,0,0,1,0,2,0,0,7,0,2,0,0,0
school_and_education,0,0,0,0,3,0,0,1,0,0,1,3,1,1,9,1,1,2,0,6,1,1,0,0,3,0,0,1,0,1,1,0,0,0,1,0,3,0,0,11,1,0,0,0,0
sports,6,0,1,0,12,5,9,4,0,0,1,6,4,2,10,7,22,8,0,5,5,8,0,5,2,0,6,8,2,11,5,1,3,10,2,5,8,0,0,6,8,1,0,0,1
technology,6,0,0,0,5,0,4,30,0,0,8,37,4,16,57,1,26,12,0,30,6,14,0,2,21,1,0,7,1,19,13,11,0,2,6,7,2,0,0,45,6,1,0,0,1
the_environment,1,1,1,0,1,0,3,1,0,0,0,0,1,0,20,0,4,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,4,4,0,0
the_mainstream_media,1,0,1,0,1,0,2,15,0,0,3,7,0,3,13,0,4,3,0,2,0,1,0,1,2,0,0,1,0,5,5,3,0,1,0,1,2,0,0,8,1,1,0,0,0
travel,1,0,2,0,0,1,4,1,0,0,0,0,2,0,3,4,4,1,0,1,2,0,0,1,0,0,1,3,1,3,8,0,0,1,0,0,4,0,0,2,0,0,0,0,0
videoblogging,3,1,2,0,16,7,14,5,0,0,0,4,2,2,11,3,26,14,4,17,6,3,1,8,5,0,1,17,4,5,13,5,0,4,4,6,12,0,0,8,6,1,0,0,2
web_development_and_sites,1,0,0,0,0,0,1,2,0,0,0,3,0,1,4,1,1,2,1,5,1,2,0,1,1,0,0,0,0,2,1,1,0,0,1,0,0,0,0,3,1,0,1,0,0
