category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39
art,6,0,3,7,5,3,0,0,6,3,4,8,8,9,2,8,5,3,4,6,0,1,4,1,0,9,0,1,10,2,1,4,0,0,4,1,3,0,1,1
autos_and_vehicles,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
business,0,0,0,0,0,1,0,0,0,1,27,5,5,4,5,1,1,0,3,10,0,0,0,0,0,1,1,0,1,0,1,3,0,0,13,2,0,0,0,0
citizen_journalism,0,0,1,3,1,0,0,0,4,1,4,20,4,2,33,3,5,1,2,15,0,1,0,0,1,1,3,0,4,2,4,6,0,0,5,4,0,0,0,1
comedy,2,0,6,3,8,6,0,0,4,6,36,6,3,3,1,7,6,4,5,1,0,2,5,4,0,1,0,1,6,1,3,6,0,0,0,3,3,0,0,1
conferences_and_other_events,1,0,2,0,1,0,0,0,3,0,18,3,4,12,5,3,1,0,3,0,0,0,0,0,0,6,1,0,0,1,0,2,0,0,5,2,0,0,0,0
default_category,10,1,27,8,14,3,0,0,30,12,53,34,36,64,53,23,27,4,25,31,0,11,13,5,0,24,24,5,13,23,8,22,1,0,31,17,5,2,0,1
documentary,6,0,4,5,0,1,0,0,0,3,4,10,5,6,9,8,2,1,4,4,0,3,5,2,0,5,1,1,2,1,2,7,0,0,1,1,5,0,0,0
educational,0,0,6,4,6,2,0,0,6,1,46,9,17,29,30,12,11,1,22,15,0,0,3,0,0,10,2,1,3,3,5,5,0,1,37,7,0,0,0,1
food_and_drink,0,0,2,1,4,0,0,0,1,3,1,8,5,5,8,6,4,0,3,1,0,3,2,1,0,7,0,0,2,1,1,3,0,0,2,3,1,0,0,0
gaming,3,0,5,4,5,0,1,1,2,5,6,8,4,3,3,6,3,3,2,2,0,2,8,2,0,7,0,2,5,0,1,8,0,0,1,2,3,0,1,2
health,3,0,1,5,9,0,0,0,3,4,4,6,2,0,6,2,6,1,3,5,0,2,0,1,0,5,1,0,2,0,0,8,0,0,3,5,0,0,0,0
literature,0,0,1,0,0,0,0,0,0,0,2,0,6,0,19,8,0,0,1,9,0,0,1,1,0,0,21,0,0,14,0,0,0,0,0,0,0,0,0,0
movies_and_television,5,0,9,3,7,6,0,1,22,12,15,16,10,6,6,15,26,2,8,0,0,3,8,1,0,10,2,0,13,3,13,15,0,1,6,20,4,0,0,1
music_and_entertainment,6,0,26,12,9,6,0,0,3,7,8,13,5,55,10,18,18,7,7,4,0,8,16,5,0,41,2,1,8,1,0,8,0,0,4,2,6,2,1,2
personal_or_auto-biographical,2,0,2,0,1,0,0,0,0,1,3,1,2,15,3,1,0,1,1,1,0,0,2,1,0,10,0,0,0,1,0,2,0,0,0,1,0,0,0,0
politics,0,0,4,0,5,0,0,0,81,4,9,22,110,2,54,22,21,0,29,100,0,2,0,2,0,3,17,0,3,29,33,11,0,0,5,24,0,0,0,0
religion,0,0,4,1,0,1,0,0,1,2,96,0,6,47,9,1,1,1,59,2,0,0,2,1,0,8,1,0,0,1,4,2,0,0,7,0,2,0,0,0
school_and_education,0,0,3,0,1,0,0,0,1,1,10,1,1,1,6,0,2,0,4,3,0,0,1,0,0,1,0,0,0,1,1,3,0,0,11,1,0,0,0,0
sports,1,0,12,5,7,0,0,0,11,4,18,10,9,22,5,15,8,0,7,2,0,6,8,2,0,5,1,3,10,2,2,8,0,0,6,8,1,0,0,1
technology,0,0,5,0,1,0,0,0,19,4,71,8,37,26,30,10,12,0,45,21,1,0,7,1,0,13,11,0,2,6,16,2,0,0,45,6,1,0,0,1
the_environment,1,0,1,0,0,1,0,0,0,1,20,1,1,4,1,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,4,4,0,0
the_mainstream_media,1,0,1,0,0,0,0,0,5,0,14,1,16,4,2,3,3,0,10,2,0,0,1,0,0,5,3,0,1,0,3,2,0,0,8,1,1,0,0,0
travel,2,0,0,1,4,0,0,0,3,2,3,3,1,4,1,5,1,0,0,0,0,1,3,1,0,8,0,0,1,0,0,4,0,0,2,0,0,0,0,0
videoblogging,2,0,16,7,3,1,0,0,5,2,14,14,11,26,17,17,14,4,4,5,0,1,17,4,1,13,5,0,4,4,2,12,0,0,8,6,1,0,0,2
web_development_and_sites,0,0,0,0,1,0,0,0,2,0,6,2,2,1,5,2,2,1,3,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,3,1,0,1,0,0
