category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29
art,4,5,3,0,6,0,14,1,0,4,1,2,5,0,10,38,1,3,0,1,0,1,0,1,5,2,18,0,6,3
autos_and_vehicles,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
business,7,0,1,0,7,0,2,10,1,0,0,0,0,2,33,15,0,0,1,3,0,0,0,0,2,2,0,0,0,0
citizen_journalism,3,7,0,0,2,1,10,2,1,7,0,6,0,0,33,41,0,4,0,3,1,1,0,0,5,0,0,0,4,0
comedy,10,1,2,3,11,0,37,13,2,0,0,2,3,0,8,28,0,4,1,2,0,0,0,1,10,2,2,0,4,0
conferences_and_other_events,4,3,2,0,10,0,8,5,1,1,0,0,0,0,16,10,0,0,0,7,1,0,0,0,3,2,0,0,1,0
default_category,50,7,7,1,29,3,51,23,1,1,6,10,8,8,177,177,1,7,3,20,0,1,1,2,18,13,13,0,20,6
documentary,8,4,2,1,4,0,12,2,0,1,2,5,3,0,18,28,3,1,0,1,0,1,1,2,4,1,2,0,2,1
educational,37,3,1,1,49,0,14,19,3,0,0,5,0,0,51,52,0,0,1,29,0,0,0,0,10,3,1,0,13,4
food_and_drink,11,0,2,0,5,0,4,1,1,0,0,5,0,0,6,27,0,6,1,1,0,0,0,0,3,3,0,0,2,0
gaming,10,6,1,2,3,0,9,5,2,0,2,2,2,1,13,37,1,2,0,0,0,1,0,0,3,0,1,0,2,5
health,5,1,0,0,5,0,8,13,0,3,0,0,0,1,7,6,0,0,1,1,0,0,0,0,2,16,0,0,19,0
literature,4,0,0,0,1,0,1,1,0,0,0,0,0,0,12,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
movies_and_television,9,4,4,1,20,0,56,5,3,18,0,3,13,2,23,59,0,4,0,1,0,1,0,2,29,3,5,1,5,1
music_and_entertainment,10,0,6,3,9,0,39,1,0,2,2,1,13,0,58,140,2,5,0,1,0,0,0,1,13,0,9,0,5,2
personal_or_auto-biographical,5,0,1,1,3,0,2,0,0,0,0,1,0,0,20,16,0,0,0,0,0,0,0,0,0,0,0,0,2,0
politics,12,20,0,0,8,19,16,54,2,3,0,10,0,17,135,69,1,0,0,26,0,1,0,0,32,146,1,0,17,6
religion,5,2,0,0,15,0,88,2,1,0,0,1,0,0,51,71,0,1,0,15,0,0,0,0,8,0,1,0,2,0
school_and_education,4,0,3,0,7,0,9,1,0,0,0,0,1,0,14,10,0,0,0,1,0,0,0,0,2,0,0,0,1,0
sports,9,1,2,0,19,0,14,25,0,2,2,7,2,1,21,60,0,0,1,3,0,1,1,0,0,10,5,1,9,3
technology,49,2,4,1,36,0,34,14,4,2,4,7,1,2,62,94,0,0,0,41,0,0,0,1,21,4,2,0,20,2
the_environment,2,0,1,0,1,0,1,2,0,0,0,0,1,0,26,4,0,1,0,0,0,0,0,0,8,1,0,0,1,0
the_mainstream_media,0,0,2,0,9,0,8,8,0,1,0,1,0,0,21,10,0,1,0,1,0,0,0,0,0,3,1,0,23,0
travel,3,0,0,2,0,0,3,3,0,1,0,1,1,3,6,20,0,1,0,0,0,0,0,0,1,0,1,0,3,1
videoblogging,18,1,3,0,12,0,9,15,1,1,2,1,1,2,56,97,0,3,0,3,0,1,0,0,5,2,1,0,8,1
web_development_and_sites,8,0,0,0,10,0,0,1,0,0,0,0,0,1,5,5,0,0,0,6,0,0,0,0,0,0,0,0,2,0
