category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54,cluster 55,cluster 56,cluster 57,cluster 58,cluster 59,cluster 60,cluster 61,cluster 62,cluster 63,cluster 64,cluster 65,cluster 66,cluster 67,cluster 68,cluster 69
art,18,146,42,19,13,1,22,24,24,83,54,68,46,16,144,57,15,139,220,146,0,53,57,3,31,36,22,62,94,45,43,38,42,24,34,180,27,92,18,138,1,47,110,80,47,734,15,17,16,68,28,152,69,375,13,19,41,21,163,27,32,44,32,46,53,30,82,74,25,0
movies_and_television,113,153,58,37,11,39,66,8,72,203,332,261,25,94,156,185,137,413,217,50,0,75,123,16,26,13,158,62,322,83,36,27,122,53,116,259,378,331,41,137,27,191,185,125,47,498,36,143,7,200,18,60,31,897,44,63,24,10,116,30,105,11,270,64,85,2,72,78,70,0
web_development_and_sites,6,16,4,5,1,1,9,49,2,33,6,10,13,0,26,0,3,11,16,0,0,5,0,8,29,4,0,4,11,5,26,1,1,45,2,19,2,36,2,30,5,1,0,18,0,16,1,0,2,2,0,19,0,7,3,13,1,0,12,11,0,46,0,7,7,49,1,0,3,0
politics,45,255,202,19,5,51,12,178,71,530,68,95,101,40,4481,75,21,207,620,1237,0,160,81,347,551,64,6,515,190,41,90,101,102,141,3452,1577,28,156,41,899,199,96,325,85,93,128,121,13,25,147,8,82,133,261,12,75,2,2,135,1017,34,59,119,2157,91,428,134,38,100,0
sports,49,106,59,90,25,58,34,21,23,93,68,87,73,4,51,119,28,114,66,35,0,36,15,1,69,70,28,37,64,59,37,22,44,30,81,66,16,101,42,35,43,38,25,54,33,270,14,29,65,42,8,87,15,149,27,61,24,0,63,94,15,13,17,282,41,23,23,28,8,4
technology,38,282,189,3,17,10,49,579,16,792,56,145,58,8,403,29,9,77,146,102,0,59,11,31,247,77,28,99,90,85,141,42,30,244,1048,645,9,100,28,329,51,62,28,122,11,128,19,13,18,83,9,245,19,83,21,339,70,6,137,133,11,82,12,33,45,90,84,71,47,1
educational,20,222,112,21,5,10,48,283,12,273,108,79,48,3,161,31,15,57,155,40,0,37,12,4,181,50,12,21,192,64,152,6,26,253,313,269,47,127,47,155,73,23,43,141,8,96,26,9,9,30,19,92,8,133,9,128,10,4,201,114,5,58,11,63,29,493,18,59,23,4
religion,20,119,36,4,4,0,11,11,19,276,179,62,27,3,239,22,17,80,216,13,0,16,24,2,29,0,11,22,685,36,51,8,20,454,188,190,19,81,15,1146,40,11,22,113,10,148,2,15,0,21,9,17,13,199,5,15,5,0,20,6,7,0,21,7,36,314,5,18,35,0
travel,6,4,17,10,1,0,13,3,9,5,11,16,13,1,0,10,4,32,4,0,0,2,14,47,9,14,5,0,1,5,5,4,3,0,1,11,15,12,17,2,30,14,4,6,1,54,2,3,5,14,4,13,3,50,17,15,4,0,11,5,5,3,8,15,2,1,1,7,13,0
music_and_entertainment,39,45,13,96,8,15,125,2,65,37,39,176,141,26,173,110,14,215,67,48,0,10,92,5,12,43,70,20,37,136,24,27,33,29,5,14,48,129,37,179,19,100,63,73,28,479,64,31,4,73,29,49,15,844,50,21,208,35,36,22,39,22,95,3,27,4,25,87,7,2
