category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39
art,0,0,8,6,0,0,0,2,1,3,2,1,22,0,0,2,1,0,2,25,5,5,9,2,1,3,6,2,1,0,1,0,2,13,3,0,1,3,2,0
movies_and_television,1,9,4,7,0,1,6,5,0,2,10,3,11,0,49,4,1,0,12,23,36,3,0,8,2,1,6,1,4,0,0,2,0,20,6,0,31,2,2,0
web_development_and_sites,1,1,1,0,0,1,1,1,3,0,0,1,0,3,1,0,1,0,0,0,0,0,5,1,1,0,1,0,0,0,0,0,2,1,1,0,0,0,0,11
politics,2,1,41,0,48,9,2,23,1,7,12,157,0,3,6,19,3,0,59,1,16,23,9,2,61,3,9,5,0,0,0,12,5,4,2,36,2,0,12,0
sports,1,4,2,6,0,8,5,3,1,0,3,15,18,3,5,4,4,0,6,19,7,12,8,5,1,5,7,1,3,1,3,2,2,17,11,0,3,1,3,0
technology,2,12,15,7,0,0,6,1,17,9,2,11,13,33,18,3,10,0,27,13,23,31,40,1,4,11,7,6,3,0,6,9,13,16,4,1,3,3,5,22
educational,3,18,4,6,1,6,3,2,20,8,3,2,5,23,12,9,7,0,16,4,13,13,21,0,2,4,1,1,1,1,3,4,6,18,2,3,1,1,4,45
religion,71,21,6,3,0,2,4,1,0,2,0,2,12,12,21,0,3,0,10,22,8,7,4,1,0,3,2,2,4,0,6,0,1,10,0,3,18,0,0,2
travel,0,1,0,4,3,0,1,2,0,1,0,1,3,0,3,1,1,0,0,6,2,1,1,4,3,2,0,1,0,0,1,1,2,2,2,0,0,0,1,0
music_and_entertainment,2,0,7,49,0,1,0,1,0,5,2,0,66,3,18,2,5,0,9,35,9,5,2,3,0,2,4,6,8,3,8,3,3,17,24,0,8,10,2,0
the_environment,0,0,0,1,0,0,10,0,0,4,1,0,2,2,1,0,0,0,10,1,0,1,1,1,0,1,1,5,0,0,3,1,1,1,0,0,0,0,0,1
school_and_education,0,6,0,0,0,0,5,0,4,0,0,0,1,0,0,1,1,0,0,7,1,2,2,0,0,1,1,0,0,0,0,1,0,16,2,0,2,0,0,0
health,0,0,2,0,0,1,1,8,0,0,0,19,3,3,5,0,2,0,4,6,1,17,6,0,1,1,2,1,0,0,0,0,0,3,0,0,1,0,0,1
citizen_journalism,0,4,6,0,10,1,0,6,8,1,0,0,0,1,4,6,3,0,5,3,4,9,4,3,10,3,9,0,0,0,1,3,1,3,4,15,1,0,2,1
personal_or_auto-biographical,0,0,0,3,0,0,0,2,1,0,0,0,0,0,4,0,6,0,0,4,2,0,2,3,0,1,0,2,1,0,9,3,3,1,2,0,1,0,1,0
food_and_drink,0,1,0,5,0,0,2,7,0,1,0,6,3,0,10,4,3,0,2,2,9,1,1,1,0,6,0,0,1,0,1,0,4,5,1,0,1,0,1,0
conferences_and_other_events,0,5,2,2,0,0,1,0,0,1,1,1,1,2,5,0,3,0,3,3,7,3,7,0,0,1,4,3,1,0,0,6,0,3,0,0,7,0,1,1
gaming,0,1,4,4,0,1,0,4,0,0,1,0,12,4,6,1,2,0,1,5,6,4,1,6,1,2,0,3,2,0,2,3,3,6,15,0,3,1,4,2
literature,0,0,1,1,0,0,0,38,0,0,12,0,1,0,3,2,0,0,3,0,1,0,0,5,0,1,0,11,0,0,0,3,0,0,0,0,0,0,1,0
business,1,4,3,0,3,2,4,1,1,2,0,2,1,3,2,3,5,0,7,2,6,1,7,1,3,0,0,4,1,0,4,2,1,5,0,3,2,0,0,0
the_mainstream_media,2,1,2,3,0,0,2,1,0,13,1,0,1,1,2,1,1,0,9,1,8,18,4,0,0,2,1,1,3,0,3,1,1,1,1,0,1,2,1,0
autos_and_vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
comedy,3,4,3,8,0,1,0,3,1,1,2,6,12,0,13,2,2,0,14,17,9,4,3,6,0,1,4,1,2,0,1,2,2,10,6,0,0,3,0,0
default_category,10,14,13,24,9,9,7,24,16,6,14,16,42,17,31,13,23,2,29,45,28,18,21,20,6,18,10,29,12,2,13,17,19,30,14,3,10,6,10,14
videoblogging,4,2,1,21,1,4,3,12,3,0,9,2,18,4,13,3,11,0,6,14,13,3,7,7,4,5,3,5,6,1,7,4,6,17,14,0,2,5,2,1
documentary,1,1,6,5,1,0,0,5,1,1,5,2,9,2,2,7,7,0,3,7,2,1,1,5,1,1,5,1,2,0,3,1,2,8,0,0,7,3,1,0
